Campaign Name,Email,Email Provider,Lead Status,Interest Status,Last contacted from,phone,website,companyName,file,email,category,location,pause_until
"Cloud 9 | Wedding Planners",jessica@tmeventsandpromotions.ca,Other,Completed | Reply received,Interested,samuel.perry@getonmain.xyz,+17788663470,https://tmeventsandpromotions.ca/,TM Events and Promotions,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,jessica@tmeventsandpromotions.ca,wedding planners,,
"Cloud 9 | Wedding Planners",twinographystudio@gmail.com,Google,Completed | Reply received,Interested,joshua@messagecloud.co,+14508216556,http://www.twinographystudio.com/,Twinography Studio - Wedding Photography,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,twinographystudio@gmail.com,wedding planners,"1107 W 14th Ave, Vancouver, BC V6H 1P5, Canada",
"Cloud 9 | Wedding Planners",hello@chelseabrownphoto.ca,Google,Completed | Reply received,Interested,lawrence@messagecloud.co,+16049894414,http://www.chelseabrownphoto.ca/,Chelsea Brown Photography,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,hello@chelseabrownphoto.ca,wedding planners,"6008 Dubois Rd, Madeira Park, BC V0N 2H0, Canada",
"Cloud 9 | Wedding Planners",info@davidbuckweddings.com,Zoho,Completed | Reply received,Interested,matthew.king@getonmain.xyz,+17783474034,http://www.davidbuckweddings.com/,David & Sherry Photography,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,info@davidbuckweddings.com,wedding planners,,
"Cloud 9 | Wedding Planners",info@girlonwax.com,Other,Completed | Reply received,Interested,morgan@messagecloud.co,+17788819562,https://girlonwax.com/,GirlOnWax DJs & Musicians,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,info@girlonwax.com,wedding planners,"2480 E Hastings St, Vancouver, BC V5K 1Z1, Canada",
"Cloud 9 | Wedding Planners",hello@beautifullifestudios.com,Google,Completed | Reply received,Interested,joshua@messagecloud.co,+17783836241,http://www.beautifullifebc.com/,Beautiful Life Studios BC - Photo & Video,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,hello@beautifullifestudios.com,wedding planners,"1228 Hamilton St, Vancouver, BC V6B 6L2, Canada",
"Cloud 9 | Wedding Planners",engaged@dreamgroup.ca,Google,Completed | Reply received,Interested,joshua@messagecloud.co,+16045373575,https://engagedvancouver.com/,Engaged Vancouver Wedding Show,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,engaged@dreamgroup.ca,wedding planners,,
"Cloud 9 | Wedding Planners",andrewjimenez@dvjstudios.com,Google,Completed | Reply received,Interested,olivia.bennett@aionmain.co,+17782284090,http://dvjstudios.com/,DVJ studios,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,andrewjimenez@dvjstudios.com,wedding planners,,
"Cloud 9 | Wedding Planners",info@folkloreweddings.com,Google,Completed | Reply received,Interested,james.mitchell@aionmain.co,+17786793274,https://folkloreweddings.com/,Folklore Wedding Company,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,info@folkloreweddings.com,wedding planners,,
"Cloud 9 | Wedding Planners",info@moonlitmemories.ca,Google,Completed | Reply received,Interested,michael.brown@getonmainstreet.xyz,+16047042598,https://moonlitmemories.ca/,Moonlit Memories Photo Booth,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,info@moonlitmemories.ca,wedding planners,,
